Question_ID,number_of_steps_that_ignored_relevant_phrases,Total_number_of_steps,Ratio of ignored/total steps,,,
0,0,3,0,,,
1,0,3,0,,,
2,1,3,0.333333333333333,,,
3,0,2,0,,,
4,0,3,0,,,
5,3,3,1,,,
6,0,3,0,,,
7,0,4,0,,,
8,0,4,0,,,
9,0,3,0,,,
10,0,3,0,,,
11,1,6,0.166666666666667,,,
12,2,5,0.4,,,
13,1,3,0.333333333333333,,,
14,1,3,0.333333333333333,,,
15,1,3,0.333333333333333,,,
16,0,4,0,,,
17,1,5,0.2,,,
18,2,3,0.666666666666667,,,
19,3,4,0.75,,,
20,1,4,0.25,,,
21,0,9,0,,,
22,1,1,1,,,
23,0,3,0,,,
24,1,2,0.5,,,
25,5,9,0.555555555555556,,,
26,1,4,0.25,,,
27,1,3,0.333333333333333,,,
28,1,3,0.333333333333333,,,
29,0,3,0,,,
30,0,7,0,,,
31,1,5,0.2,,,
32,1,2,0.5,,,
33,0,3,0,,,
34,1,4,0.25,,,
35,0,3,0,,,
36,0,3,0,,,
37,0,3,0,,,
38,1,3,0.333333333333333,,,
39,0,2,0,,,
40,1,4,0.25,,,
41,1,1,1,,,
42,2,2,1,,,
43,0,3,0,,,
44,1,3,0.333333333333333,,,
45,2,4,0.5,,,
46,2,5,0.4,,,
47,1,4,0.25,,,
48,1,2,0.5,,,
49,1,3,0.333333333333333,,,
50,0,6,0,,,